row_index,author_id,name,home_link,total_cost_usd,usage
155,f2i_0VIAAAAJ,Alessandro de Lima Bicho,http://www.youtube.com/user/alessandrobicho,0.00263465,"""CompletionUsage(completion_tokens=81, prompt_tokens=13636, total_tokens=13717, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=13636, image_tokens=0), num_sources_used=0)"""
160,ss8WP7QAAAAJ,Beungyong Park,https://sites.google.com/view/hvac-hanbat/home,0.0038032499999999998,"""CompletionUsage(completion_tokens=67, prompt_tokens=19514, total_tokens=19581, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=19514, image_tokens=0), num_sources_used=0)"""
161,4oxwdeEAAAAJ,Alireza Chamanzar,https://ophthalmology.pitt.edu/people/alireza-chamanzar-phd,0.00093795,"""CompletionUsage(completion_tokens=222, prompt_tokens=4800, total_tokens=5022, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=4800, image_tokens=0), num_sources_used=0)"""
163,xSQEh7MAAAAJ,John E. Johnson,http://www.scripps.edu/johnson/,0.000197,"""CompletionUsage(completion_tokens=44, prompt_tokens=995, total_tokens=1039, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=995, image_tokens=0), num_sources_used=0)"""
168,NtAsZK-2HjcC,Anirban Chakraborty,http://anirbanchakraborty.github.io/,0.0016380000000000001,"""CompletionUsage(completion_tokens=418, prompt_tokens=7265, total_tokens=7683, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=7265, image_tokens=0), num_sources_used=0)"""
171,l6V2TL0AAAAJ,seungjun jung,https://www.github.com/seungjun45,0.006586550000000001,"""CompletionUsage(completion_tokens=44, prompt_tokens=33488, total_tokens=33532, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=33488, image_tokens=0), num_sources_used=0)"""
173,LpKCaGAAAAAJ,Hojeong Kang,http://eel.yonsei.ac.kr/,0.006775950000000001,"""CompletionUsage(completion_tokens=416, prompt_tokens=33505, total_tokens=33921, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=33505, image_tokens=0), num_sources_used=0)"""
181,YiKb_jkAAAAJ,Mikyung Lim,https://sites.google.com/view/theta-lab,0.00094965,"""CompletionUsage(completion_tokens=51, prompt_tokens=5286, total_tokens=5337, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=5286, image_tokens=0), num_sources_used=0)"""
185,dU7U7-0AAAAJ,Chan Lee,http://chanlee.org/,0.00013995000000000001,"""CompletionUsage(completion_tokens=36, prompt_tokens=1275, total_tokens=1311, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=1275, image_tokens=0), num_sources_used=0)"""
191,2dhOtAsAAAAJ,Hyeyoun Park,https://www.surrey.ac.uk/people/hyeyoun-park,0.0017079500000000002,"""CompletionUsage(completion_tokens=374, prompt_tokens=8270, total_tokens=8644, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=8270, image_tokens=0), num_sources_used=0)"""
193,g6DVMywAAAAJ,Jong-Woong Kim,http://www.fedl.org/,0.0014722000000000001,"""CompletionUsage(completion_tokens=44, prompt_tokens=7371, total_tokens=7415, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=7371, image_tokens=0), num_sources_used=0)"""
195,JiKV0wUAAAAJ,Sujin Jang,https://sujinjang.github.io/,0.0014698500000000002,"""CompletionUsage(completion_tokens=527, prompt_tokens=6697, total_tokens=7224, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=6697, image_tokens=0), num_sources_used=0)"""
197,wSE0nWUAAAAJ,Yeonwoo Jeong,https://maestrojeong.github.io/,0.00092675,"""CompletionUsage(completion_tokens=44, prompt_tokens=5189, total_tokens=5233, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=5189, image_tokens=0), num_sources_used=0)"""
